Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
62,3.0,0.0,0.0,185.0,2.0,71.0,2845.0,0.1,46.108999999999995,0.0,0.0,726.0559151172638,,,,,,,,,,,,,,,,,,,,,16.620683955532133,15.191808357471198,45.018924268770476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,219.0,3.0,34.0,2879.0,0.1,15.705999999999994,0.0,0.0,729.5750818252563,,,,,,,,,,,,,,,,,,,,,4.82647833166915,5.170816861894293,15.57303022414131,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,278.0,4.0,59.0,2938.0,0.1,32.507,0.0,0.0,735.8514759540558,,,,,,,,,,,,,,,,,,,,,11.722041489325793,10.453900139305325,31.879125924853557,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,349.0,5.0,71.0,3009.0,0.1,59.404999999999994,0.0,0.0,742.923088312149,,,,,,,,,,,,,,,,,,,,,25.644230686567703,18.844529113890786,57.69960112390035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,439.0,6.0,90.0,3099.0,0.1,55.306000000000004,0.0,0.0,751.8642711639404,,,,,,,,,,,,,,,,,,,,,22.734110097826633,15.692659865915097,53.366609944474625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,464.0,7.0,25.0,3124.0,0.1,11.005999999999995,0.0,0.0,754.6314835548401,,,,,,,,,,,,,,,,,,,,,3.291147307331501,3.7952330685570597,10.945601574864869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,502.0,8.0,38.0,3162.0,0.1,17.00600000000002,0.0,0.0,758.7296075820923,,,,,,,,,,,,,,,,,,,,,5.021587152881371,5.5196881103262525,16.848860560450856,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,525.0,9.0,23.0,3185.0,0.1,9.604999999999995,0.0,0.0,761.0408229827881,,,,,,,,,,,,,,,,,,,,,2.8326689818290016,3.318037234705113,9.55895696839776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,561.0,10.0,36.0,3221.0,0.1,12.706999999999992,0.0,0.0,764.9382557868958,,,,,,,,,,,,,,,,,,,,,3.36547050483781,3.98900557794449,12.611052555885056,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,661.0,11.0,100.0,3321.0,0.1,62.80600000000001,0.0,0.0,774.7255680561066,,,,,,,,,,,,,,,,,,,,,27.332873965565003,18.25563468344463,60.19303848737977,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,744.0,12.0,83.0,3404.0,0.1,46.30899999999999,0.0,0.0,782.8855926990509,,,,,,,,,,,,,,,,,,,,,15.945352261478497,14.006167968286087,45.07564197059653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,778.0,13.0,34.0,3438.0,0.1,17.20700000000002,0.0,0.0,786.4989037513733,,,,,,,,,,,,,,,,,,,,,5.290573355044185,5.878233040887696,17.061225896495596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,822.0,14.0,44.0,3482.0,0.1,26.20700000000002,0.0,0.0,791.0640149116516,,,,,,,,,,,,,,,,,,,,,8.862565049780336,8.864790821922579,25.86875878662413,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,898.0,15.0,76.0,3558.0,0.1,38.907000000000025,0.0,0.0,798.8785846233368,,,,,,,,,,,,,,,,,,,,,15.689016684887678,10.763064003537915,37.79017729636398,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,927.0,16.0,29.0,3587.0,0.1,14.605999999999995,0.0,0.0,801.8774569034576,,,,,,,,,,,,,,,,,,,,,4.577550314592872,5.062853745606776,14.502241020677143,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
